family,technique_id,technique_name,tactic,documented_behavior,confidence,platform,source_note,package_status,matrix,mapped_utc
starlandrat,T1053.005,Scheduled Task/Job: Scheduled Task,Persistence,PythonLauncher-* AtLogOn Highest,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1547.001,Startup Folder,Persistence,Startup LNK launching pythonw.exe with LICENSE.txt,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1497.001,Virtualization/Sandbox Evasion: System Checks,Defense Evasion,Sandbox username/hostname checks; Zone.Identifier ADS check,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion,AMSI/ETW patching before shellcode inject,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1055,Process Injection,Defense Evasion,APC-based shellcode injection; reflective CastleStealer/Remcos,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1555,Credentials from Password Stores,Credential Access,Browser + 40+ crypto wallet recon/theft,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1113,Screen Capture,Collection,Desktop screenshots,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1071.001,Application Layer Protocol: Web Protocols,Command and Control,Primary C2 domains; WLDR encrypted HTTPS beaconing,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1102,Web Service,Command and Control,Telegram bot notification/beacon path,High,Windows,Talos,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
starlandrat,T1608,Stage Capabilities,Resource Development,Polygon smart-contract dead-drop for fallback C2 domain,High,Windows,Talos — novel resolver,PRIMARY_FROZEN,enterprise,2026-09-20T16:03:04Z
